"landtype","spp","poolID","amountAtT0"
"28","ABIE.BAL","1",2
"28","ABIE.BAL","2",0
"28","ABIE.BAL","3",2
"28","ABIE.BAL","4",0
"28","ABIE.BAL","5",7
"28","ABIE.BAL","6",39
"28","ABIE.BAL","7",120
"28","ABIE.BAL","8",2
"28","ABIE.BAL","9",0
"28","ABIE.BAL","10",0
"29","ABIE.BAL","1",4
"29","ABIE.BAL","2",1
"29","ABIE.BAL","3",7
"29","ABIE.BAL","4",1
"29","ABIE.BAL","5",14
"29","ABIE.BAL","6",69
"29","ABIE.BAL","7",191
"29","ABIE.BAL","8",6
"29","ABIE.BAL","9",2
"29","ABIE.BAL","10",0
"130","ABIE.BAL","1",10
"130","ABIE.BAL","2",3
"130","ABIE.BAL","3",17
"130","ABIE.BAL","4",4
"130","ABIE.BAL","5",24
"130","ABIE.BAL","6",140
"130","ABIE.BAL","7",396
"130","ABIE.BAL","8",9
"130","ABIE.BAL","9",3
"130","ABIE.BAL","10",0
"131","ABIE.BAL","1",9
"131","ABIE.BAL","2",3
"131","ABIE.BAL","3",19
"131","ABIE.BAL","4",4
"131","ABIE.BAL","5",29
"131","ABIE.BAL","6",157
"131","ABIE.BAL","7",428
"131","ABIE.BAL","8",11
"131","ABIE.BAL","9",3
"131","ABIE.BAL","10",0
"132","ABIE.BAL","1",8
"132","ABIE.BAL","2",2
"132","ABIE.BAL","3",15
"132","ABIE.BAL","4",3
"132","ABIE.BAL","5",22
"132","ABIE.BAL","6",133
"132","ABIE.BAL","7",375
"132","ABIE.BAL","8",8
"132","ABIE.BAL","9",3
"132","ABIE.BAL","10",0
"133","ABIE.BAL","1",9
"133","ABIE.BAL","2",2
"133","ABIE.BAL","3",21
"133","ABIE.BAL","4",4
"133","ABIE.BAL","5",33
"133","ABIE.BAL","6",179
"133","ABIE.BAL","7",508
"133","ABIE.BAL","8",13
"133","ABIE.BAL","9",5
"133","ABIE.BAL","10",0
"134","ABIE.BAL","1",16
"134","ABIE.BAL","2",4
"134","ABIE.BAL","3",26
"134","ABIE.BAL","4",5
"134","ABIE.BAL","5",38
"134","ABIE.BAL","6",196
"134","ABIE.BAL","7",552
"134","ABIE.BAL","8",14
"134","ABIE.BAL","9",7
"134","ABIE.BAL","10",0
"135","ABIE.BAL","1",14
"135","ABIE.BAL","2",3
"135","ABIE.BAL","3",28
"135","ABIE.BAL","4",5
"135","ABIE.BAL","5",40
"135","ABIE.BAL","6",205
"135","ABIE.BAL","7",563
"135","ABIE.BAL","8",16
"135","ABIE.BAL","9",7
"135","ABIE.BAL","10",0
"136","ABIE.BAL","1",22
"136","ABIE.BAL","2",4
"136","ABIE.BAL","3",43
"136","ABIE.BAL","4",5
"136","ABIE.BAL","5",53
"136","ABIE.BAL","6",235
"136","ABIE.BAL","7",600
"136","ABIE.BAL","8",24
"136","ABIE.BAL","9",14
"136","ABIE.BAL","10",0
"137","ABIE.BAL","1",18
"137","ABIE.BAL","2",3
"137","ABIE.BAL","3",44
"137","ABIE.BAL","4",5
"137","ABIE.BAL","5",56
"137","ABIE.BAL","6",255
"137","ABIE.BAL","7",647
"137","ABIE.BAL","8",24
"137","ABIE.BAL","9",13
"137","ABIE.BAL","10",0
"217","ABIE.BAL","1",50
"217","ABIE.BAL","2",20
"217","ABIE.BAL","3",32
"217","ABIE.BAL","4",20
"217","ABIE.BAL","5",104
"217","ABIE.BAL","6",488
"217","ABIE.BAL","7",1524
"217","ABIE.BAL","8",20
"217","ABIE.BAL","9",2
"217","ABIE.BAL","10",0
"218","ABIE.BAL","1",51
"218","ABIE.BAL","2",21
"218","ABIE.BAL","3",28
"218","ABIE.BAL","4",21
"218","ABIE.BAL","5",107
"218","ABIE.BAL","6",468
"218","ABIE.BAL","7",1481
"218","ABIE.BAL","8",18
"218","ABIE.BAL","9",1
"218","ABIE.BAL","10",0
"219","ABIE.BAL","1",49
"219","ABIE.BAL","2",21
"219","ABIE.BAL","3",28
"219","ABIE.BAL","4",20
"219","ABIE.BAL","5",107
"219","ABIE.BAL","6",450
"219","ABIE.BAL","7",1429
"219","ABIE.BAL","8",19
"219","ABIE.BAL","9",1
"219","ABIE.BAL","10",0
"220","ABIE.BAL","1",43
"220","ABIE.BAL","2",17
"220","ABIE.BAL","3",26
"220","ABIE.BAL","4",17
"220","ABIE.BAL","5",97
"220","ABIE.BAL","6",417
"220","ABIE.BAL","7",1308
"220","ABIE.BAL","8",17
"220","ABIE.BAL","9",2
"220","ABIE.BAL","10",0
"221","ABIE.BAL","1",32
"221","ABIE.BAL","2",12
"221","ABIE.BAL","3",31
"221","ABIE.BAL","4",12
"221","ABIE.BAL","5",71
"221","ABIE.BAL","6",335
"221","ABIE.BAL","7",1011
"221","ABIE.BAL","8",17
"221","ABIE.BAL","9",5
"221","ABIE.BAL","10",0
"222","ABIE.BAL","1",45
"222","ABIE.BAL","2",18
"222","ABIE.BAL","3",24
"222","ABIE.BAL","4",18
"222","ABIE.BAL","5",113
"222","ABIE.BAL","6",427
"222","ABIE.BAL","7",1325
"222","ABIE.BAL","8",18
"222","ABIE.BAL","9",0
"222","ABIE.BAL","10",0
"223","ABIE.BAL","1",45
"223","ABIE.BAL","2",18
"223","ABIE.BAL","3",23
"223","ABIE.BAL","4",18
"223","ABIE.BAL","5",102
"223","ABIE.BAL","6",401
"223","ABIE.BAL","7",1258
"223","ABIE.BAL","8",16
"223","ABIE.BAL","9",0
"223","ABIE.BAL","10",0
"378","ABIE.BAL","1",5
"378","ABIE.BAL","2",1
"378","ABIE.BAL","3",16
"378","ABIE.BAL","4",3
"378","ABIE.BAL","5",22
